Brown Univ.,1,1,1,3,1,1,4,2,1,1,3,3,3,3,4,3,3,3,4
Univ. of North Carolina-Chapel Hill,1,2,2,1,1,1,4,1,1,1,3,3,4,1,4,3,2,2,4
Washington Univ. in St. Louis,1,1,1,1,1,1,3,2,1,1,2,3,3,4,4,3,2,2,4
UC Davis,1,4,1,3,1,4,4,2,2,2,3,4,4,3,4,4,2,3,4
Boston College,1,2,1,3,2,2,4,2,2,2,3,4,4,4,2,3,2,3,4
UC Berkeley,1,4,1,3,1,3,4,2,3,2,3,4,4,3,4,4,2,2,4
Univ. of Georgia,1,4,1,2,3,3,4,3,3,3,3,4,4,4,4,4,3,3,4
Rutgers Univ.,1,3,1,3,2,4,3,2,3,2,3,4,3,3,4,4,3,3,4
Tufts Univ.,1,1,1,3,1,1,3,2,2,1,3,3,3,4,4,3,3,3,3
Texas A&M Univ.,1,1,1,1,2,3,4,1,1,3,2,4,2,2,4,4,2,2,3
Massachusetts Institute of Technology,2,3,2,2,2,2,2,2,2,1,3,4,3,4,4,3,3,3,4
Princeton Univ.,1,1,1,1,1,1,3,1,1,1,3,3,3,4,4,3,3,3,4
UT Austin,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,4
Univ. of Virginia,1,1,1,3,2,2,4,2,2,1,3,3,3,1,4,3,3,3,4
Stanford Univ.,1,1,1,1,1,1,3,1,1,1,3,3,3,4,4,3,3,3,4
Univ. of Wisconsin-Madison,1,3,1,3,2,2,4,2,3,2,3,4,3,2,4,3,3,3,4
Carnegie Mellon Univ.,1,1,1,3,2,2,4,1,2,1,2,4,3,4,4,2,1,3,4
Univ. of Illinois-Urbana Champaign,1,4,1,2,2,4,4,2,2,2,2,4,3,3,4,3,3,3,4
Columbia Univ.,1,1,1,3,1,1,3,1,2,1,3,3,3,4,4,3,3,3,4
Georgia Institute of Technology,1,4,1,3,2,3,4,2,3,1,3,4,2,1,4,3,3,3,4
Johns Hopkins Univ.,1,1,1,3,1,1,4,2,2,2,3,4,3,4,4,4,2,2,4
Rice Univ.,1,3,1,3,1,1,3,1,1,1,3,3,3,3,4,4,3,3,3
Georgetown Univ.,1,1,1,1,1,1,2,2,1,1,3,3,3,3,4,3,3,3,4
Univ. of Southern California,1,4,1,1,1,1,4,2,2,2,3,3,4,4,4,3,3,3,4
Purdue Univ.,1,3,1,1,2,2,4,2,3,2,2,4,3,3,4,3,3,3,3
